sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
269,"2 -[[4-(Dimethylamino)phenyl]azo]-1,3- dimethyl-1H-imidazolium chloride","BASIC RED 51","77061-58-6","278-601-4","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidatie hair dye products","(b) 1,0 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if:  — you have a rash on your face or sensitive, irritated and damaged scalp,  — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","2-[[4-(Dimethylamino)phenyl]azo]-1,3- dimethyl-1H-imidazolium chloride","","",16/06/2014
269,"Phenol, 2 -Amino- 5-Ethyl-, Hydrochloride","2-AMINO-5- ETHYLPHENOL HCL","","","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if:  — you have a rash on your face or sensitive, irritated and damaged scalp,  — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 1197/2013","","","","Phenol, 2-Amino- 5-Ethyl-, Hydrochloride","","",16/06/2014
270,"Fluorescein, 2',4',5',7' -tetrabromo-4,5,6,7- tetrachloro-, disodium salt (CI 45410)","ACID RED 92","18472-87-2","242-355-6","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 0,4 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if:  — you have a rash on your face or sensitive, irritated and damaged scalp,  — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","Fluorescein, 2',4',5',7'-tetrabromo-4,5,6,7- tetrachloro-, disodium salt (CI 45410)","","",16/06/2014
271,"Mixture of (1), (2) & (3) in dispersing agent (lignosulphate): (1) 9,10 -Anthracenedione- 1,4-bis[(2- Hydroxyethyl)amino] (2) 9,10-Anthracenedione-1- [(2-Hydroxyethyl)amino]- 4-[(3- Hydroxypropyl)amino] (3) 9,10-anthracenedione- 1,4-bis[(3- hydroxypropyl)amino","DISPERSE BLUE 377 IS A MIXTURE OF THREE DYES:(1) 1,4-BIS[(2-HYDROXYETHYL)AMINO]ANTHRA-9,10-QUINONE/(2) 1-[(2-HYDROXYETHYL)AMINO]-4-[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE/(3) 1,4-BIS[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE","(1) 4471-41-4/(2) 67674-26-4/(3) 67701-36-4","(1) 224-743-7/(2) 266-865-3/(3) 266-954-7","Hair dye substance in non -oxidative hair dye products","2,0 %","","","(EC) No 1197/2013","","","","Mixture of (1), (2) & (3) in dispersing agent (lignosulphate):
(1) 9,10-Anthracenedione- 1,4-bis[(2- Hydroxyethyl)amino]
(2) 9,10-Anthracenedione-1- [(2-Hydroxyethyl)amino]- 4-[(3- Hydroxypropyl)amino]
(3) 9,10-anthracenedione- 1,4-bis[(3- hydroxypropyl)amino","","",16/06/2014
272,"4 -Aminophenol","P-AMINOPHENOL","123-30-8","204-616-2","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,9 %","To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 1197/2013","","","","4-Aminophenol","","",16/06/2014
273,"4,5 -Diamino-1-(2- hydroxyethyl)-1H- pyrazole","1-HYDROXYETHYL-4,5- DIAMINO PYRAZOLE SULFATE","155601-30-2","429-300-3","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3,0 %","To be printed on the label: The mixing ratio. Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 1197/2013","","","","4,5-Diamino-1-(2- hydroxyethyl)-1H- pyrazole","","",16/06/2014
274,"Quinolinium, 4 - formyl-1-methyl-, salt with 4- methylbenzenesulfonic acid (1:1)","4-FORMYL-1-METHYLQUINOLINIUM-P-TOLUENESULFONATE","223398-02-5","453-790-8","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,5 %","To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,— you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","Quinolinium, 4- formyl-1-methyl-, salt with 4- methylbenzenesulfonic acid (1:1)","","",16/06/2014
275,"Pyridinium, 1 - methyl-4-[( methylphenylhydrazono)methyl]-, methyl sulfate","BASIC YELLOW 87","68259-00-7","269-503-2","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 1,0 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","Pyridinium, 1- methyl-4-[( methylphenylhydrazono)methyl]-, methyl sulfate","","",16/06/2014
276,"2 -[(4-Aminophenyl)azo]-1,3- dimethyl-1H-imidazolium chloride","BASIC ORANGE 31","97404-02-9","306-764-4","a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 1,0 %","","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy.  Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","2-[(4-Aminophenyl)azo]-1,3- dimethyl-1H-imidazolium chloride","","",16/06/2014
277,"2,6 -Pyridinediamine, 3-(3- pyridinylazo)","2,6-DIAMINO-3- ((PYRIDINE-3-YL)AZO)PYRIDINE","28365-08-4","421-430-9","(a) Hair dye substance in oxidative hair dye products b) Hair dye substance in non -oxidative hair dye products","(b) 0.25 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,25 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","2,6-Pyridinediamine, 3-(3- pyridinylazo)","","",16/06/2014
278,"4 -((4-Amino-3- methylphenyl)(4- imino-3-methyl- 2,5-cyclohexadien-1- ylidene)methyl)-2- methylphenylamine monohydrochloride (CI 42520)","BASIC VIOLET 2","3245-91-7","221-831-7","a) Hair dye substance in oxidative hair dye products b) Hair dye substance in non -oxidative hair dye products","0.5 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,— you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","4-((4-Amino-3- methylphenyl)(4- imino-3-methyl- 2,5-cyclohexadien-1- ylidene)methyl)-2- methylphenylamine monohydrochloride (CI 42520)","","",16/06/2014
279,"2,3 -Diamino-6,7- dihydro-1H,5H- pyrazolo[1,2-a] Pyrazol-1-one dimethanesulfonate","2,3-DIAMINODIHYDROPYRAZOLOPYRAZOLONE DIMETHOSULFONATE","857035-95-1","469-500-8","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0 %","To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","2,3-Diamino-6,7- dihydro-1H,5H- pyrazolo[1,2-a] Pyrazol-1-one dimethanesulfonate","","",16/06/2014
280,"2 -Amino-4,6-dinitrophenol and 2- amino-4,6-dinitrophenol, sodium salt","PICRAMIC ACID AND SODIUM PICRAMATE","96-91-3 / 831-52-7","202-544-6 / 212-603-8","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 0.6 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,6 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","2-Amino-4,6-dinitrophenol and 2- amino-4,6-dinitrophenol, sodium salt","","",16/06/2014
281,"1 -Methylamino-2- nitro-5-(2,3-dihydroxy-propyloxy)- benzene","2-NITRO-5-GLYCERYL METHYLANILINE","80062-31-3","279-383-3","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 1.0 %","a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,8 % For (a) and (b): — Do not use with nitrosating agents — Maximum nitrosamine content: 50 μg/kg  — Keep in nitrite -free containers","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16 Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if:  — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair,  — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","1-Methylamino-2- nitro-5-(2,3-dihydroxy-propyloxy)- benzene","","",16/06/2014
282,"1 -Propanaminium, 3-[[9,10-dihydro- 4-(methylamino)- 9,10-dioxo-1- anthracenyl] amino]-N,N- dimethyl-N- propyl-, bromide","HC BLUE 16","502453-61-4","481-170-7","Hair dye substance in non -oxidative hair dye products","3,0 %","— Do not use with nitrosating agents  — Maximum nitrosamine content: 50 μg/kg  — Keep in nitrite -free containers","","(EC) No 1197/2013","","","","1-Propanaminium, 3-[[9,10-dihydro- 4-(methylamino)- 9,10-dioxo-1- anthracenyl] amino]-N,N- dimethyl-N- propyl-, bromide","","",16/06/2014
283,"3 -amino-2-chlor- 6-methylphenol  3-amino-4-chloro- 6-methylphenol HCl","5-AMINO-6-CHLORO-O- CRESOL / 5-AMINO-6-CHLORO-O- CRESOL HCL","84540-50-1 / 80419-48-3","283-144-9","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 0.5 %","","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","3-amino-2-chlor- 6-methylphenol 
3-amino-4-chloro- 6-methylphenol HCl","","",16/06/2014
284,"Phenol, 2,2' - methylenebis[4- amino-], dihydrochloride","2,2'-METHYLENEBIS-4- AMINOPHENOL HCL","27311-52-0 / 63969-46-0","440-850-3","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 1.0 %","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy.Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”","(EC) No 1197/2013","","","","Phenol, 2,2'- methylenebis[4- amino-], dihydrochloride","","",16/06/2014
